State,Density
Bihar,"1,106"
West Bengal,"1,028"
Kerala,860
Uttar Pradesh,829
Haryana,573
Tamil Nadu,555
Punjab,551
Jharkhand,414
Assam,398
Goa,394
Maharashtra,365
Tripura,350
Karnataka,319
Andhra Pradesh,308
Gujarat,308
Telangana,307
Odisha,270
Madhya Pradesh,236
Rajasthan,200
Chhattisgarh,189
Uttarakhand,189
Himachal Pradesh,123
Nagaland,119
Meghalaya,132
Manipur,128
Sikkim,86
Jammu & Kashmir,56
Mizoram,52
Arunachal Pradesh,17
